0,000%
0,759%
1,507%
2,248%
2,984%
3,708%
4,426%
5,136%
5,840%
6,531%
7,216%
7,889%
8,559%
9,215%
9,865%
10,504%
11,136%
11,765%
12,383%
13,002%
13,612%
14,208%
14,806%
15,393%
15,971%
16,545%
17,103%
17,660%
18,207%
18,750%
19,291%
19,827%
20,349%
20,872%
21,398%
21,900%
22,397%
22,887%
23,377%
23,857%
24,335%
24,812%
25,276%
25,738%
26,202%
26,642%
27,087%
27,528%
27,955%
28,382%
28,813%
29,237%
29,653%
30,060%
30,464%
30,869%
31,261%
31,649%
32,020%
32,395%
32,770%
33,140%
33,492%
33,844%
34,192%
34,529%
34,869%
35,203%
35,540%
35,867%
36,184%
36,505%
36,818%
37,128%
37,441%
37,740%
38,038%
38,338%
38,633%
38,912%
39,199%
39,471%
39,752%
40,020%
40,291%
40,559%
40,825%
41,077%
41,328%
41,576%
41,821%
42,054%
42,294%
42,529%
42,756%
42,979%
43,210%
43,425%
43,639%
43,850%
44,049%
44,255%
44,464%
44,670%
44,872%
45,061%
45,248%
45,436%
45,618%
45,800%
45,988%
46,174%
46,347%
46,518%
46,695%
46,861%
47,021%
47,184%
47,342%
47,505%
47,658%
47,812%
47,960%
48,098%
48,243%
48,388%
48,525%
48,655%
48,791%
48,918%
49,049%
49,177%
